,Turbine,Date & Time,WTG-B (2.82-FDR 2A) - (GRID) OPERATING TIME,WTG-B (2.82-FDR 2A) - BLADE 1 - ACTUAL VALUE,WTG-B (2.82-FDR 2A) - BLADE 1 - SET VALUE,WTG-B (2.82-FDR 2A) - BLADE 2 - ACTUAL VALUE,WTG-B (2.82-FDR 2A) - BLADE 2 - SET VALUE,WTG-B (2.82-FDR 2A) - BLADE 3 - ACTUAL VALUE,WTG-B (2.82-FDR 2A) - BLADE 3 - SET VALUE,WTG-B (2.82-FDR 2A) - DOWN TIME,WTG-B (2.82-FDR 2A) - EXPECTED POWER,WTG-B (2.82-FDR 2A) - GEARBOX BEARING TEMPERATURE INTERMEDIATE SHAFT GENERATOR SIDE (ROTOR SIDE),WTG-B (2.82-FDR 2A) - POWER,WTG-B (2.82-FDR 2A) - PRODUCTION,WTG-B (2.82-FDR 2A) - GEARBOX BEARING TEMPERATURE,WTG-B (2.82-FDR 2A) - ROTOR BEARING 2 TEMPERATURE,WTG-B (2.82-FDR 2A) - ROTOR SPEED (PLC),WTG-B (2.82-FDR 2A) - STATE AND FAULT,WTG-B (2.82-FDR 2A) - GENERATOR OUTBOARD BEARING TEMPERATURE,WTG-B (2.82-FDR 2A) - HUB TEMPERATURE,WTG-B (2.82-FDR 2A) - SHAFT BEARING TEMPERATURE,WTG-B (2.82-FDR 2A) - TIP SPEED,WTG-B (2.82-FDR 2A) - TIP SPEED RATIO,WTG-B (2.82-FDR 2A) - TOWER ACCELERATION,WTG-B (2.82-FDR 2A) - WIND DIRECTION,WTG-B (2.82-FDR 2A) - WIND SPEED,WTG-B (2.82-FDR 2A) - YAW DEVIATION
22898,WTG-B,25-Feb-22 23:10:00,12395144,-0.645183563,-0.272259206,-0.163746834,-0.197872579,-0.909585714,-0.917079568,1615175,570.3486328,-3278.5,395.6611938,3985591,49.42844772,-3.700000048,7.458946228,OnLine,10.61616516,8.012063026,20.3904686,51.90680313,8.964659691,42.35515976,72,5.542784214,5
23042,WTG-B,26-Feb-22 23:10:00,12445471,78.71477509,78.35751343,78.64526367,78.35751343,78.65973663,78.35751343,1615693,9.228190422,-3278.5,-13.8119173,3989964,31.85762978,-3.700000048,0,Weather Outage,16.69999886,8.086956978,17.95686722,2.027225256,0,25.70687485,10,0.878365278,46
23186,WTG-B,27-Feb-22 23:10:00,12511058,-0.687204301,-0.309930891,-0.593931854,-0.235544279,-1.322218299,-0.954751194,1615693,1283.125,-3278.5,1491.233521,4004233,63.05098724,-3.700000048,11.21382618,OnLine,18.81711197,14.11806679,34.3430481,74.79626465,10.22862339,125.5976944,215,7.276428699,2
23330,WTG-B,28-Feb-22 23:10:00,12592636,0.234261677,0.186892003,0.31250003,0.2612786,-0.403682977,-0.45792824,1615693,2034.194336,-3278.5,1984.473877,4027647,61.49694061,-3.700000048,12.6342411,OnLine,25.29522514,20.23981094,41.90000153,85.84651947,9.644015312,149.4551544,222,8.728889465,1.317389607
23474,WTG-B,01-Mar-22 23:10:00,12668176,4.496994972,4.185732365,7.889663696,7.60125351,4.613181114,5.295866966,1615772,2765.953369,-3278.5,2396.145264,4051835,66.15512085,-3.700000048,13.41953278,OnLine,33.1102829,24.89672279,43.73134232,88.18419647,8.039960861,141.1207886,224,11.13558197,1.265630245
23618,WTG-B,02-Mar-22 23:10:00,12747750,2.869915962,2.89358449,2.950020313,2.967971087,2.23592782,2.248764038,1615772,2778.762207,-3278.5,2892.20166,4078296,66.39258575,-3.700000048,13.53090382,OnLine,33.08138657,24.92560196,45.87727356,87.40997314,8.009605408,130.1352081,208,11.23336124,1
23762,WTG-B,03-Mar-22 23:10:00,12818253,84.97674561,80.90096283,84.99118042,80.90096283,84.99185181,80.90096283,1615772,2819.971924,-3278.5,-16.93369675,4105101,54.85677338,-3.700000048,0,External Curtailment,37.63388062,26.95319748,43.06402588,1.181055903,0,4.964753628,184,13.24606609,5
23906,WTG-B,04-Mar-22 23:10:00,12867027,17.81909752,17.86295319,17.89548111,17.93733978,17.17642784,17.21813393,1615772,2820,-3278.5,954.4967041,4130121,55.46350861,-3.700000048,11.56314278,OnLine,20.19999886,22.32386208,37.63635635,76.21572113,4.563220978,207.3049469,184,16.81509399,0
24050,WTG-B,05-Mar-22 23:10:00,12928811,2.827515125,2.759527922,2.954328299,2.833914518,2.183820009,2.114707708,1615926,2433.160889,-3278.5,2684.125732,4162533,60.95491409,-3.700000048,13.52217388,OnLine,21.37243652,17.95070457,45.20141602,89.32976532,9.336933136,162.6202393,8,9.633490562,3
24194,WTG-B,06-Mar-22 23:10:00,13014672,2.568688154,2.574311972,2.64097023,2.648698568,1.924352765,1.929491878,1615926,2371.507813,-3278.5,2589.336426,4207720,58.80403137,-3.700000048,13.33860302,OnLine,11.21565628,3.563066721,38.20000076,87.66262054,9.160983086,95.05267334,334,9.639749527,12
24338,WTG-B,07-Mar-22 23:10:00,13042046,84.99923706,85,85.02498627,85,85.02526093,85,1626296,327.6501465,-3278.5,-3.808049202,4226909,19.86833954,-3.700000048,0,Fault 2242,9.205816269,4.149759293,11.51107025,0,0,29.95615578,57,4.615744591,13
25490,WTG-B,16-Mar-22 00:10:00,13057149,-0.608320832,-0.648935556,-0.544524431,-0.5745489,-1.263403773,-1.29375577,1695489,947.7993164,-3278.5,1031.742065,4227960,59.57030869,-3.700000048,10.00480938,OnLine,17.48356056,17.17838478,29.1676712,66.62856293,10.20182133,29.99679184,177,6.533331871,1
25634,WTG-B,17-Mar-22 00:10:00,13143752,9.441819191,9.005145073,9.708491325,9.875097275,6.978079796,7.083528519,1695489,2816.44873,-3278.5,2811.203857,4290281,67.59999847,-3.700000048,13.45533085,OnLine,36.36836243,26.87353325,49.25461197,89.10037994,7.354804039,153.7331848,178,12.13346577,4
25778,WTG-B,18-Mar-22 00:10:00,13227347,16.30875206,16.37498474,16.27990913,16.08252716,16.40000343,16.30475044,1695489,2820,-3278.5,2838.28125,4328447,66.3662262,-3.700000048,13.60735416,OnLine,23.35987091,14.01080036,42.4464035,89.84805298,4.281896114,163.8930664,350,21.20255661,5.791632652
25922,WTG-B,19-Mar-22 00:10:00,13310928,35.6760788,35.54906845,35.55846786,35.44225311,34.93354034,34.81164169,1695489,12.87005424,-3278.5,-16.39294052,4385756,54.82344818,-3.700000048,0.441322625,RunUp,26.89984894,17.8354454,36.80679703,2.804950714,0,22.10476112,236,1.331384897,35.96998978
26066,WTG-B,20-Mar-22 00:10:00,13388485,1.440100908,1.904842854,1.311478019,1.7980268,0.67185849,1.167416215,1695489,37.46915817,-3278.5,86.29639435,4404209,56.95095444,-3.700000048,7.463471413,OnLine,29.32828903,23.87358093,39.38490295,50.34354401,16.82041359,69.11702728,174,2.968262434,17.21131897
26210,WTG-B,21-Mar-22 00:10:00,13468030,13.86187935,13.61231613,16.10411644,16.06874657,13.49058342,13.98627853,1695489,2818.310303,-3278.5,2506.161865,4454454,67.23200989,-3.700000048,13.54206371,OnLine,35.44931412,25.90826225,47.79319763,89.50358582,5.08817625,229.9785919,170,17.76321983,3.783097506
26354,WTG-B,22-Mar-22 00:10:00,13541546,-0.572735608,-0.334804654,-0.691606104,-0.441620767,-1.326652765,-1.072231293,1695489,597.6496582,-3278.5,670.7994385,4489581,59.9591217,-3.700000048,8.625922203,OnLine,17.80563545,14.02231312,38.14138031,57.24160004,10.20105171,53.68117905,81,5.614760876,2
26498,WTG-B,23-Mar-22 00:10:00,13624131,5.986090183,5.981595516,6.24187851,6.152066231,5.623881817,5.651183605,1695489,2654.323975,-3278.5,2844.774658,4546884,64.07627869,-3.700000048,13.39991665,OnLine,20.73660088,13.74498844,39.98892212,90.71127319,8.442392349,135.0708771,333,10.59913731,0
26642,WTG-B,24-Mar-22 00:10:00,13709736,1.997698903,1.677092314,1.861433864,1.57027626,1.230765581,0.939665616,1695489,129.9994965,-3278.5,138.3812103,4601155,54.53606796,-3.700000048,7.44789362,OnLine,15.34834194,10.81325531,34.51340866,49.9736557,13.66182709,50.21326065,242,3.628927708,9
26786,WTG-B,25-Mar-22 00:10:00,13788862,1.83865869,1.681643486,1.703012824,1.574827433,1.072762012,0.944216907,1695489,190.4025421,-3278.5,87.58267975,4621989,55.96175766,-3.700000048,7.462678432,OnLine,22.70931053,17.78741264,36.27731323,50.52743912,12.28977585,51.67956161,121,4.042163849,5
26930,WTG-B,26-Mar-22 00:10:00,13855312,-0.539241493,-0.525492311,-0.649843276,-0.632308424,-1.277539492,-1.262918949,1695489,856.7566528,-3278.5,442.760376,4634648,59.57675171,-3.700000048,7.66609621,OnLine,23.69047356,17.57154846,36.96523285,52.1193161,8.095967293,47.33546448,80,6.286797047,0.527206421
27074,WTG-B,27-Mar-22 00:10:00,13928826,3.592729092,3.509459019,1.915826797,2.197712421,1.203088164,0.94982785,1695645,2206.046387,-3278.5,2676.729492,4647369,66.12615967,-3.700000048,13.47593403,OnLine,27.15315056,19.91428185,42.78935623,88.87927246,9.935100555,111.4610519,93,9.017412186,0.361645877
27218,WTG-B,28-Mar-22 00:10:00,14015418,0.841929376,0.886636972,0.728791535,0.779820859,0.104319014,0.149210319,1695645,1767.871826,-3278.5,2148.84082,4698591,63.41798019,-3.700000048,12.89586353,OnLine,22.95321274,18.83937645,44.28577423,87.35289001,10.59232426,141.5002899,79,8.138087273,6.357792854
27362,WTG-B,29-Mar-22 00:10:00,14101105,5.768964291,5.622334003,5.754783154,5.624778271,5.050867558,4.946008205,1695645,2818.487305,-3278.5,2744.54541,4733274,67.63563538,-3.700000048,13.43304253,OnLine,35.53752899,27.18362808,46.46756744,89.27626038,7.234137058,233.858902,164,12.36409473,9
27506,WTG-B,30-Mar-22 00:10:00,14187721,1.296581507,1.321751475,1.189467788,1.214935422,0.55374819,0.584324896,1695645,2245.077148,-3278.5,2186.946533,4799630,67.48148346,-3.700000048,13.40411377,OnLine,35.55966568,26.96456718,50.59091568,88.71365356,9.651040077,154.6037445,184,9.255072594,1
27650,WTG-B,31-Mar-22 00:10:00,14274343,-0.588594794,-0.54127574,-0.692356825,-0.648091853,-1.277098656,-1.278702378,1695645,1651.288452,-3278.5,1711.260498,4863968,61.33293152,-3.700000048,11.72111988,OnLine,14.0726366,13.88725185,42.32518768,80.48435974,9.862447739,35.50160217,350,7.912030697,5
27794,WTG-B,01-Apr-22 00:10:00,14336350,-0.548447251,-0.541712701,-0.654115677,-0.648528814,-1.277090669,-1.27913928,1695645,1038.913696,-3278.5,1022.412109,4884171,61.86035156,-3.700000048,9.902628899,OnLine,13.49999905,13.73420238,33.09962082,66.25082397,9.868040085,32.61411667,146,6.705548763,2.755998135
27938,WTG-B,02-Apr-22 00:10:00,14420672,-0.557923019,0.034785543,-0.665957987,-0.072030567,-1.287423849,-0.702641129,1695726,625.6143188,-3278.5,959.8181152,4929011,60.82520294,-3.700000048,9.702444077,OnLine,18.89999962,19.17071533,44.2422905,64.85335541,11.40091324,44.9660759,194,5.69792366,5
28082,WTG-B,03-Apr-22 00:10:00,14505252,-0.583560109,-1.456011057,-0.685763061,0.493184954,-1.29668045,-1.513642907,1695726,498.492157,-3278.5,649.3939819,4942047,59.28623581,-3.700000048,8.691734314,OnLine,22.89586639,20.77509499,40.90000153,55.41602325,10.98585892,148.8066864,118,5.310268402,1
28226,WTG-B,04-Apr-22 00:10:00,14585821,1.728714108,1.718276501,1.613373518,1.611312628,0.975992978,0.980529487,1695726,2369.110352,-3278.5,2457.34375,4994304,66.80000305,-3.700000048,13.41797066,OnLine,31.42942238,24.74374199,48.88305664,89.22125244,9.395786285,140.3955231,24,9.467986107,3
28370,WTG-B,05-Apr-22 00:10:00,14669098,1.957211733,2.106221437,1.851594329,2.036273479,1.225322485,1.623322964,1695726,81.3077774,-3278.5,41.6097641,5027080,55.59999847,-3.700000048,7.45975256,OnLine,26.00569534,19.7536869,39.5,50.60711288,14.81690216,20.89410019,97,3.348416805,10
28514,WTG-B,06-Apr-22 00:10:00,14753655,17.99873734,17.96617317,17.9485836,17.83110046,17.27210999,17.23999596,1695726,2232.572021,-3278.5,2433.858154,5064710,66.59999847,-3.700000048,13.40537453,OnLine,29.62079811,21.87372017,46.56067657,89.06854248,4.034994125,201.4494476,41,22.18192673,9
28658,WTG-B,07-Apr-22 00:10:00,14840260,1.752762556,1.772172928,1.642677784,1.665356874,1.012281895,1.034746408,1695940,2252.32959,-3278.5,2469.128418,5121971,64.98416901,-3.700000048,13.43365955,OnLine,25.27806473,18.74971962,45.67956161,88.1244278,9.815850258,149.4733124,351,9.111018181,3.450763226
28802,WTG-B,08-Apr-22 00:10:00,14925861,-0.573864341,-0.252572358,-0.666530728,-0.359388471,-1.305861115,-0.989998996,1696239,1592.233643,-3278.5,1275.114136,5181259,58.03930664,-3.700000048,10.70808697,OnLine,16.71980095,17.92682266,44.65374756,69.61199951,9.108185768,33.33602905,19,7.801289558,1.632214069
28946,WTG-B,09-Apr-22 00:10:00,15012452,1.97809422,5.053031921,1.915327907,4.958988667,1.243118167,4.318655014,1696239,71.69082642,-3278.5,-19.47348785,5235535,54.66697693,-3.700000048,7.194792271,RunUp,29.06251717,18.37841225,39.79202652,46.76558685,14.77602196,15.65124416,30,3.263789177,11
29090,WTG-B,10-Apr-22 00:10:00,15081913,65.01703644,65.08283234,64.91382599,64.97601318,64.28178406,64.34540558,1696239,2819.239502,-3278.5,-16.66086578,5273994,55.59319687,-3.700000048,2.260001659,RunUp,38.92137146,27.05587769,42.8058548,15.85343075,1.026648164,65.70037079,177,14.44008923,4
29234,WTG-B,11-Apr-22 00:10:00,15135285,0.054980226,0.035437118,-0.04744114,-0.071378984,-0.684624314,-0.701989472,1696239,1740.034424,-3278.5,2046.152588,5288186,63.70182037,-3.700000048,12.68660545,OnLine,28.6693058,24.88315201,44.89286041,85.110672,10.34202385,129.6431122,55,8.168625832,2
29378,WTG-B,12-Apr-22 00:10:00,15220857,85.0279007,83.73345184,85.00535583,83.73345184,85.0141983,83.73345184,1696239,2762.787598,-3278.5,-11.98375225,5324313,53.99213791,-3.700000048,0.523248971,External Curtailment,33.68828583,21.65531731,41.95430374,3.1001091,0.324665934,19.4686203,118,11.33494377,0.471318424
29522,WTG-B,13-Apr-22 00:10:00,15290736,9.429616928,9.723816872,9.344943047,9.61700058,8.697412491,8.986390114,1696239,2818.452148,-3278.5,2878.784912,5374947,67.72915649,-3.700000048,13.55209351,OnLine,38.87910843,29.79366493,51.01239014,89.43573761,6.837421894,198.9591827,188,13.1494236,1
29666,WTG-B,14-Apr-22 00:10:00,15377334,-0.580654323,-0.274864674,-0.493062019,-0.381680787,-1.304193616,-1.012291312,1696239,688.5946045,-3278.5,737.7949829,5425177,62.24375916,-3.700000048,9.024078369,OnLine,17.00253677,15.10591125,39.54200363,62.01893616,10.22212887,23.51283073,73,5.864358425,5.24622345
29810,WTG-B,15-Apr-22 00:10:00,15457899,9.109060287,9.203165054,12.06462669,11.50125217,11.20073318,11.69647121,1696239,2819.552246,-3278.5,2797.361816,5451275,66.83391571,-3.700000048,13.57838154,OnLine,29.94472694,21.84864807,45.36923599,90.04896545,7.214724541,189.1471558,162,12.50807858,0.251007766
29954,WTG-B,16-Apr-22 00:10:00,15543488,12.00512791,11.88461494,11.91064453,11.80466652,11.23226643,11.13910103,1696239,2820,-3278.5,2072.383789,5502510,66.56475067,-3.700000048,13.39252377,OnLine,28.28699303,22.91918564,48.47069931,89.51628876,6.322713852,212.0538635,48,14.23176193,6
30098,WTG-B,17-Apr-22 00:10:00,15629067,-0.548840284,-0.44444412,-0.640991569,-0.551260233,-1.278274417,-1.181870818,1696239,909.3026123,-3278.5,1013.811707,5554726,63.42472076,-3.700000048,9.806786537,OnLine,16.3734436,15.73578167,40.88933945,67.67778778,10.30258846,101.0899734,82,6.335700989,4
30242,WTG-B,18-Apr-22 00:10:00,15712597,0.222579971,0.207106084,0.111036815,0.100289986,-0.51478374,-0.530320585,1696239,2029.410767,-3278.5,2082.521973,5573139,64.49181366,-3.700000048,12.59006023,OnLine,23.62383842,15.45823765,42.78488922,83.81179047,9.69388485,55.83618546,84,8.642269135,2.593476534
30386,WTG-B,19-Apr-22 00:10:00,15798184,-0.541633248,-0.572260976,-0.643165767,-0.679077089,-1.270984769,-1.309687614,1696239,1516.522461,-3278.5,1398.725342,5596209,63.07777786,-3.700000048,11.13959408,OnLine,17.65045166,16.74855232,40.72655487,73.11766815,9.643068314,60.73141098,90,7.658234596,1.796916842
30530,WTG-B,20-Apr-22 00:10:00,15876216,14.22080612,14.44628906,12.27241039,12.57645702,12.49334335,12.16954899,1696239,2819.866455,-3278.5,2928.54248,5646438,66.90000153,-3.700000048,13.47434044,OnLine,33.3433075,21.11530685,45.79553604,89.58128357,5.240948677,255.7859955,177,16.92290497,11
30674,WTG-B,21-Apr-22 00:10:00,15962828,8.427689552,8.331075668,8.310120583,8.224259377,7.685000896,7.593649387,1696239,2818.749268,-3278.5,2768.79248,5703715,67.70212555,-3.700000048,13.46871853,OnLine,41.6512413,29.61350822,51.73564911,89.58583832,6.291385174,148.5560913,36,14.23490906,2.226741791
30818,WTG-B,22-Apr-22 00:10:00,16049436,11.15362358,11.38401699,11.06182575,11.03010273,11.22380733,11.2797823,1696239,2820,-3278.5,2935.306885,5755942,67.83542633,-3.700000048,13.36761189,OnLine,43.75417328,29.96344376,52.25590515,88.10744476,5.69026947,250.1120758,172,15.66137886,4
30962,WTG-B,23-Apr-22 00:10:00,16134030,18.06026268,19.25672722,14.87420177,15.5025034,15.91299725,15.24088764,1696309,2820,-3278.5,2745.376465,5821275,72.58973694,-3.700000048,13.35687542,OnLine,61.13028336,29.84776878,55.88486862,90.26332855,5.277467728,183.7779999,158,17.07262993,12
31106,WTG-B,24-Apr-22 00:10:00,16218614,91.99998474,85.84976959,73.39631653,85.84951782,91.99998474,85.85161591,1698317,2005.576904,-3278.5,-8.410509109,5885603,59.62456512,-3.700000048,0.06123111,Fault 1340,60.14749527,28.94153023,54.66578293,0,0,23.05189133,187,8.791139603,5.716749668
31250,WTG-B,25-Apr-22 00:10:00,16241319,91.99998474,85,91.99998474,85,92,85,1751779,656.3765869,-3278.5,-2.767946959,5899320,41.31593704,-3.700000048,0,Fault 4532,39.00226212,22.05778885,31.98625755,1.284187198,0,33.31275558,37,5.818514824,0
31394,WTG-B,26-Apr-22 00:10:00,16284615,-0.705837965,-0.363338768,-0.605254531,-0.268619418,-1.17413342,-0.822896659,1792906,349.3562317,-3278.5,379.3577271,5916389,61.39074326,-3.700000048,7.511334419,OnLine,39.63683701,18.85389709,40.79999924,51.66193008,10.62920189,107.4890137,63,4.724036217,2
31538,WTG-B,27-Apr-22 00:10:00,16318960,90.18460846,87.36158752,90.25003815,87.24806213,90.43999481,87.40034485,1834588,2748.977539,-3278.5,-2.017970324,5921431,42.7482605,-3.700000048,0.291535795,Fault 3996,38.72322845,21.48088455,29.96762657,0.708027005,0,15.65124416,173,10.94729042,3
31682,WTG-B,28-Apr-22 00:10:00,16341550,92.00000763,89.09720612,91.99998474,89.10590363,91.99998474,89.08837891,1889988,2284.874268,-3278.5,-7.701181889,5935129,49.53011322,-3.700000048,0.149049327,Fault 1144,54.79310608,22.1546917,31.1924324,0.989926219,0,75.63879395,180,9.305438995,3
31826,WTG-B,29-Apr-22 00:10:00,16365120,91.99998474,87.69641113,91.99998474,87.70931244,91.99998474,87.70931244,1941333,2432.598877,-3278.5,-7.691038132,5947230,54.63113785,-3.700000048,0.147752494,Fault 1341,52.41517258,25.70911407,34.17929077,0,0,74.29347229,133,9.679798126,11
31970,WTG-B,30-Apr-22 00:10:00,16381083,85.01593018,86.78869629,85.01783752,86.77800751,85.01522064,86.77658844,2009675,2819.176758,-3278.5,-6.828925133,5956740,42.43090439,-3.700000048,0,Fault 2603,49.53231049,25.95868683,32.28238297,0.611262798,0,95.16547394,335,12.87975216,5.940902233
32114,WTG-B,01-May-22 00:10:00,16418333,84.98219299,87.72348785,85.00495911,87.82691956,85.00164795,87.82691956,2050958,12.5219965,-3278.5,-2.214137793,5976072,48.88189697,-3.700000048,0.250218391,Fault 2759,43.29506683,26.79037666,34.63981247,1.663419962,0,20.1497364,12,1.385554433,22
32258,WTG-B,02-May-22 00:10:00,16434193,91.99991608,85,92.00001526,85,91.99998474,85,2121800,1539.441772,-3278.5,-2.255357027,5980433,34.82004166,-3.700000048,0,Fault 1340,31.60528564,23.09840202,27.83267975,0.528251112,0,34.80462265,135,7.782277107,12
32402,WTG-B,03-May-22 00:10:00,16441424,91.99998474,84.99781036,91.99998474,84.99781036,91.99998474,84.99781036,2198332,2820,-3278.5,-2.049460888,5985369,38.05619049,-3.700000048,0,Fault 1387,35.56015015,13.78066444,23.71556854,0,0,79.90402985,338,20.36133957,11
32546,WTG-B,04-May-22 00:10:00,16441908,85.02553558,85,85.01374817,85,85.01309967,85,2230305,295.2472534,-3278.5,-1.627025127,5985376,19.31493568,-3.700000048,0,Repair,18.58096886,15.76802826,15.26212978,0,0,12.5045042,113,4.512319565,225
32690,WTG-B,05-May-22 00:10:00,16441908,85.02553558,85,85.01374817,85,85.01309967,85,2230305,23.94921875,-3278.5,-1.771301627,5985376,14.38661194,-3.700000048,0,Repair,13.51811981,13.82819653,12.39999962,0,0,7.634753227,42,2.661024332,296
32834,WTG-B,06-May-22 00:10:00,16441908,85.90998077,85,86.45209503,85,86.42892456,85,2230305,1901.966797,-3278.5,-2.042833567,5985376,14.42631149,-3.700000048,0,Repair,13.62728882,13.96861458,13.06130505,0,0,5.133611679,360,8.434802055,19
32978,WTG-B,07-May-22 00:10:00,16441908,91.99998474,89,91.99998474,89,91.99998474,89,2230305,1157.982178,-3278.5,-1.689476609,5985376,20.23131371,-3.700000048,0,Repair,19.06872559,21.9325676,17.99774933,0,0,12.47520256,135,7.07905674,202.4852295
33122,WTG-B,08-May-22 00:10:00,16451971,23.55180931,23.52303505,23.25855064,23.23018265,22.92684746,22.90024567,2240577,2818.673584,-3278.5,-15.35347271,5985385,45.08909607,-3.700000048,7.63591671,OnLine,34.42286301,28.13388824,30.88803101,51.65903091,4.218289852,277.4347229,162,12.081563,1.260473132
33266,WTG-B,09-May-22 00:10:00,16520437,92,86.42586517,91.99996948,86.37796783,91.99999237,86.46924591,2257537,2802.604492,-3278.5,-2.370150089,6003539,55.86763763,-3.700000048,0.069818318,Fault 1120,46.58200836,33.01416397,46.25312424,2.745333195,0,57.49938202,181,11.98791409,12
33410,WTG-B,10-May-22 00:10:00,16521200,91.99996185,85,91.99998474,85,92.00000763,85,2313521,2819.790039,-3278.5,-1.761514306,6003639,40.12157059,-3.700000048,0,Maintenance,33.52895737,30.85562515,32.96743011,1.377229691,0,63.09505081,163,15.98910713,32.24078369
33554,WTG-B,11-May-22 00:10:00,16528347,-0.678423166,-0.680334508,-0.672155917,-0.677665412,-1.192686439,-1.197544336,2342718,808.543335,-3278.5,1588.396484,6008694,66.54425812,-3.700000048,11.67697144,OnLine,31.38862038,32.82522202,43.2760582,79.00392151,12.30977535,142.2406616,172,6.309589863,10
33698,WTG-B,12-May-22 00:10:00,16608908,5.182900429,5.600395679,3.441574335,3.458167553,5.322563171,4.963397503,2348471,2715.178467,-3278.5,2922.36084,6056892,67.80000305,-3.700000048,13.2930212,OnLine,40.86357117,33.70134735,55.00337601,89.36634827,8.001994133,239.8695984,165,11.09344196,3
33842,WTG-B,13-May-22 00:10:00,16692487,1.906973362,1.911506653,1.911673665,1.914098382,1.390883923,1.394267082,2351215,2647.613281,-3278.5,2575.578369,6115160,67.73659515,-3.700000048,13.50126266,OnLine,41.61558914,34.11593628,56.65499496,90.15702057,8.568657875,159.443634,171,10.47685814,0.783421159
